Epoch: 0, test/loss: 3.492, test/accu: 0.048
Epoch: 1, train/loss: 3.516, train/accu: 0.052
Epoch: 1, test/loss: 3.565, test/accu: 0.026
Epoch: 2, train/loss: 3.382, train/accu: 0.073
Epoch: 2, test/loss: 3.641, test/accu: 0.028
Epoch: 3, train/loss: 3.316, train/accu: 0.097
Epoch: 3, test/loss: 3.634, test/accu: 0.035
Epoch: 4, train/loss: 3.266, train/accu: 0.108
Epoch: 4, test/loss: 3.594, test/accu: 0.039
Epoch: 5, train/loss: 3.214, train/accu: 0.124
Epoch: 5, test/loss: 3.682, test/accu: 0.053
Epoch: 6, train/loss: 3.181, train/accu: 0.134
Epoch: 6, test/loss: 4.110, test/accu: 0.037
Epoch: 7, train/loss: 3.149, train/accu: 0.139
Epoch: 7, test/loss: 3.584, test/accu: 0.059
Epoch: 8, train/loss: 3.119, train/accu: 0.148
Epoch: 8, test/loss: 3.670, test/accu: 0.053
Epoch: 9, train/loss: 3.101, train/accu: 0.152
Epoch: 9, test/loss: 3.701, test/accu: 0.072
Epoch: 10, train/loss: 3.075, train/accu: 0.164
Epoch: 10, test/loss: 3.852, test/accu: 0.057
Epoch: 11, train/loss: 3.063, train/accu: 0.163
Epoch: 11, test/loss: 3.781, test/accu: 0.048
Epoch: 12, train/loss: 3.048, train/accu: 0.171
Epoch: 12, test/loss: 3.602, test/accu: 0.068
Epoch: 13, train/loss: 3.022, train/accu: 0.175
Epoch: 13, test/loss: 3.663, test/accu: 0.050
Epoch: 14, train/loss: 3.010, train/accu: 0.182
Epoch: 14, test/loss: 3.866, test/accu: 0.044
Epoch: 15, train/loss: 3.000, train/accu: 0.183
Epoch: 15, test/loss: 3.878, test/accu: 0.063
Epoch: 16, train/loss: 2.990, train/accu: 0.184
Epoch: 16, test/loss: 3.871, test/accu: 0.055
Epoch: 17, train/loss: 2.980, train/accu: 0.186
Epoch: 17, test/loss: 3.636, test/accu: 0.095
Epoch: 18, train/loss: 2.974, train/accu: 0.189
Epoch: 18, test/loss: 3.840, test/accu: 0.063
Epoch: 19, train/loss: 2.956, train/accu: 0.196
Epoch: 19, test/loss: 3.785, test/accu: 0.072
Epoch: 20, train/loss: 2.955, train/accu: 0.195
Epoch: 20, test/loss: 3.910, test/accu: 0.059
Epoch: 21, train/loss: 2.944, train/accu: 0.199
Epoch: 21, test/loss: 3.842, test/accu: 0.079
Epoch: 22, train/loss: 2.937, train/accu: 0.203
Epoch: 22, test/loss: 4.273, test/accu: 0.052
Epoch: 23, train/loss: 2.931, train/accu: 0.199
Epoch: 23, test/loss: 3.999, test/accu: 0.054
Epoch: 24, train/loss: 2.921, train/accu: 0.205
Epoch: 24, test/loss: 3.990, test/accu: 0.057
