Epoch: 0, test/loss: 3.496, test/accu: 0.048
Epoch: 1, train/loss: 3.134, train/accu: 0.149
Epoch: 1, test/loss: 3.417, test/accu: 0.124
Epoch: 2, train/loss: 2.968, train/accu: 0.189
Epoch: 2, test/loss: 3.377, test/accu: 0.122
Epoch: 3, train/loss: 2.865, train/accu: 0.218
Epoch: 3, test/loss: 3.280, test/accu: 0.133
Epoch: 4, train/loss: 2.800, train/accu: 0.235
Epoch: 4, test/loss: 3.294, test/accu: 0.141
Epoch: 5, train/loss: 2.760, train/accu: 0.244
Epoch: 5, test/loss: 3.752, test/accu: 0.145
Epoch: 6, train/loss: 2.733, train/accu: 0.252
Epoch: 6, test/loss: 3.361, test/accu: 0.131
Epoch: 7, train/loss: 2.703, train/accu: 0.260
Epoch: 7, test/loss: 3.739, test/accu: 0.075
Epoch: 8, train/loss: 2.687, train/accu: 0.264
Epoch: 8, test/loss: 3.834, test/accu: 0.089
Epoch: 9, train/loss: 2.665, train/accu: 0.270
Epoch: 9, test/loss: 3.355, test/accu: 0.157
Epoch: 10, train/loss: 2.665, train/accu: 0.270
Epoch: 10, test/loss: 3.282, test/accu: 0.131
Epoch: 11, train/loss: 2.650, train/accu: 0.276
Epoch: 11, test/loss: 3.465, test/accu: 0.160
Epoch: 12, train/loss: 2.639, train/accu: 0.277
Epoch: 12, test/loss: 3.605, test/accu: 0.084
Epoch: 13, train/loss: 2.630, train/accu: 0.278
Epoch: 13, test/loss: 3.817, test/accu: 0.115
Epoch: 14, train/loss: 2.620, train/accu: 0.283
Epoch: 14, test/loss: 3.671, test/accu: 0.131
Epoch: 15, train/loss: 2.617, train/accu: 0.281
Epoch: 15, test/loss: 3.532, test/accu: 0.125
Epoch: 16, train/loss: 2.604, train/accu: 0.284
Epoch: 16, test/loss: 3.562, test/accu: 0.108
Epoch: 17, train/loss: 2.597, train/accu: 0.287
Epoch: 17, test/loss: 3.594, test/accu: 0.062
Epoch: 18, train/loss: 2.589, train/accu: 0.293
Epoch: 18, test/loss: 4.779, test/accu: 0.103
Epoch: 19, train/loss: 2.593, train/accu: 0.292
Epoch: 19, test/loss: 3.335, test/accu: 0.146
Epoch: 20, train/loss: 2.586, train/accu: 0.294
Epoch: 20, test/loss: 3.213, test/accu: 0.131
Epoch: 21, train/loss: 2.579, train/accu: 0.296
Epoch: 21, test/loss: 3.909, test/accu: 0.110
Epoch: 22, train/loss: 2.588, train/accu: 0.291
Epoch: 22, test/loss: 3.402, test/accu: 0.128
Epoch: 23, train/loss: 2.572, train/accu: 0.295
Epoch: 23, test/loss: 4.221, test/accu: 0.057
Epoch: 24, train/loss: 2.573, train/accu: 0.296
Epoch: 24, test/loss: 3.452, test/accu: 0.123
Epoch: 25, train/loss: 2.573, train/accu: 0.298
Epoch: 25, test/loss: 3.250, test/accu: 0.165
Epoch: 26, train/loss: 2.564, train/accu: 0.299
Epoch: 26, test/loss: 3.266, test/accu: 0.169
Epoch: 27, train/loss: 2.555, train/accu: 0.300
Epoch: 27, test/loss: 3.867, test/accu: 0.076
Epoch: 28, train/loss: 2.558, train/accu: 0.303
Epoch: 28, test/loss: 3.330, test/accu: 0.097
Epoch: 29, train/loss: 2.558, train/accu: 0.300
Epoch: 29, test/loss: 3.149, test/accu: 0.195
Epoch: 30, train/loss: 2.558, train/accu: 0.303
Epoch: 30, test/loss: 3.420, test/accu: 0.160
Epoch: 31, train/loss: 2.556, train/accu: 0.304
Epoch: 31, test/loss: 4.055, test/accu: 0.108
Epoch: 32, train/loss: 2.554, train/accu: 0.303
Epoch: 32, test/loss: 3.576, test/accu: 0.138
Epoch: 33, train/loss: 2.551, train/accu: 0.303
Epoch: 33, test/loss: 3.272, test/accu: 0.174
Epoch: 34, train/loss: 2.544, train/accu: 0.305
Epoch: 34, test/loss: 3.352, test/accu: 0.116
Epoch: 35, train/loss: 2.544, train/accu: 0.305
Epoch: 35, test/loss: 3.398, test/accu: 0.126
Epoch: 36, train/loss: 2.549, train/accu: 0.304
Epoch: 36, test/loss: 3.740, test/accu: 0.107
Epoch: 37, train/loss: 2.538, train/accu: 0.305
Epoch: 37, test/loss: 3.350, test/accu: 0.130
Epoch: 38, train/loss: 2.543, train/accu: 0.303
Epoch: 38, test/loss: 3.248, test/accu: 0.183
Epoch: 39, train/loss: 2.539, train/accu: 0.306
Epoch: 39, test/loss: 3.387, test/accu: 0.129
Epoch: 40, train/loss: 2.540, train/accu: 0.302
Epoch: 40, test/loss: 3.745, test/accu: 0.160
Epoch: 41, train/loss: 2.541, train/accu: 0.304
Epoch: 41, test/loss: 3.291, test/accu: 0.153
Epoch: 42, train/loss: 2.536, train/accu: 0.308
Epoch: 42, test/loss: 3.567, test/accu: 0.136
Epoch: 43, train/loss: 2.535, train/accu: 0.310
Epoch: 43, test/loss: 3.625, test/accu: 0.112
Epoch: 44, train/loss: 2.536, train/accu: 0.307
Epoch: 44, test/loss: 3.342, test/accu: 0.120
Epoch: 45, train/loss: 2.534, train/accu: 0.308
Epoch: 45, test/loss: 3.854, test/accu: 0.094
Epoch: 46, train/loss: 2.533, train/accu: 0.309
Epoch: 46, test/loss: 3.709, test/accu: 0.088
Epoch: 47, train/loss: 2.524, train/accu: 0.311
Epoch: 47, test/loss: 3.899, test/accu: 0.109
Epoch: 48, train/loss: 2.528, train/accu: 0.311
Epoch: 48, test/loss: 3.344, test/accu: 0.162
Epoch: 49, train/loss: 2.527, train/accu: 0.311
Epoch: 49, test/loss: 3.439, test/accu: 0.108
Epoch: 50, train/loss: 2.529, train/accu: 0.310
Epoch: 50, test/loss: 3.738, test/accu: 0.100
Epoch: 51, train/loss: 2.527, train/accu: 0.310
Epoch: 51, test/loss: 3.366, test/accu: 0.098
Epoch: 52, train/loss: 2.526, train/accu: 0.313
Epoch: 52, test/loss: 3.699, test/accu: 0.152
Epoch: 53, train/loss: 2.521, train/accu: 0.309
Epoch: 53, test/loss: 3.377, test/accu: 0.141
Epoch: 54, train/loss: 2.513, train/accu: 0.314
